name,source_layers,target_layers,heads,dim,tokens,pairs,mapper_parameters,fit_seconds,warmup_iterations,timed_iterations,map_ms_median,map_ms_p95,tokens_per_second,evaluation_r2,selection_exact
micro,3,2,2,4,64,4,288,0.012174000003142282,10,100,0.3391999925952405,0.37590001011267304,188679.24940189996,0.9999987346857415,True
small,5,4,2,8,128,4,2176,0.042667899979278445,10,100,0.7807000074535608,1.0331999801564962,163955.42305360353,0.9999989452973791,True
medium,8,6,4,16,256,3,49920,0.27981129998806864,10,100,2.844100017682649,3.2759000023361295,90010.8991977669,0.9999989168422706,True
