storage_dtype,file_bytes,tensor_bytes,size_ratio_to_fp32,cache_r2,attention_output_cosine_mean,attention_output_cosine_min,attention_cosine_delta_from_fp32
float32,201608,199680,1.0,0.9999988703755063,0.9999990661938986,0.9999990463256836,0.0
bfloat16,101760,99840,0.5047418753224079,0.9999961004481304,0.9999965926011404,0.9999961853027344,-2.473592758178711e-06
